Fahrzeug-ID,Linie,Abfahrt-Datum,Annahme,Status,angem.Pers,bef.Pers,Einstieg_GTFS,Ausstieg_GTFS,abfahrt_minutes,day,depot,trip_id,einstieg_stop_id,einstieg_stop_sequence,ausstieg_stop_id,ausstieg_stop_sequence,trip_sequence_in_line
0,840,2024-08-22,P_MaS,A,1,1,Dümmer Zum Kahlberg,Schwerin Süd (NVS),546,thursday,VLP Schwerin,1132010,230261,10,657291,54,9
0,846,2024-08-22,P_SSt,A,2,2,Liessow (b Schwerin),Cambs Schweriner Str.,548,thursday,VLP Schwerin,139959,613449,10,530976,21,12
0,811,2024-08-22,I_ESM,A,1,1,Eldena (Meckl) Bahnhofstr.,Lenzen (Elbe) Markt,550,thursday,VLP Ludwigslust,4166,293222,13,289959,14,11
135,847,2024-08-22,P_ANL,DU,1,1,Banzkow Kirche,Schwerin Keplerstraße,552,thursday,VLP Schwerin,363780,205332,19,431277,36,16
123,823,2024-08-22,I_AUS,DU,1,1,Gammelin,Warsow Abzweig nach Schossin,554,thursday,VLP Hagenow,904435,653304,13,303724,34,16
148,801,2024-08-22,P_KHo,DU,1,1,Vietlübbe (b Lübz),Lübz ZOB,556,thursday,VLP Parchim,605192,120161,10,593769,37,13
152,58,2024-08-22,I_AUS,DU,1,1,Dömitz Roggenfelder Str.,Ludwigslust Alexandrinenplatz,560,thursday,VLP Ludwigslust,569208,150615,1,537253,21,10
129,800,2024-08-22,P_hkl,DU,1,1,Plauerhagen,Plau am See Bahnhof,569,thursday,VLP Parchim,96160,461783,6,298193,9,12
0,843,2024-08-22,P_hkl,A,1,1,Dessin,Sternberg (Meckl) ZOB,570,thursday,VLP Sternberg,881141,403937,22,641458,46,12
0,832,2024-08-22,P_ViB,A,2,2,Bennin Dorf,Dodow,572,thursday,VLP Boizenburg,1523417,86708,16,376412,52,15
137,804,2024-08-22,P_Bur,DU,2,2,Mestlin,Dobbertin,576,thursday,VLP Parchim,524380,234316,26,390388,43,12
138,824,2024-08-22,I_ESM,DU,1,1,Lassahn,Zarrentin a Schaals. Bahnhofst,576,thursday,VLP Hagenow,641916,645661,18,47525,27,15
138,824,2024-08-22,P_jbk,DU,1,1,Stintenburg Abzweig,Zarrentin a Schaals. Bahnhofst,577,thursday,VLP Hagenow,641916,146321,19,47525,27,15
127,841,2024-08-22,P_Bur,DU,1,1,Tramm (b Schwerin) Kirche,Crivitz Große Straße,578,thursday,VLP Schwerin,626979,97922,40,143142,46,10
146,821,2024-08-22,I_ESM,DU,1,0,Lübtheen Kirchplatz,Hagenow ZOB,582,thursday,VLP Ludwigslust,100078,106351,23,540455,51,17
146,821,2024-08-22,I_ESM,DU,1,0,Lübtheen Kirchplatz,Hagenow ZOB,582,thursday,VLP Ludwigslust,100078,106351,23,540455,51,17
0,805,2024-08-22,P_dip,A,1,1,Parchim Juri-Gagarin-Ring,Darze (b Parchim),582,thursday,VLP Parchim,781271,205739,2,328538,5,11
0,804,2024-08-22,P_StH,A,3,3,Welzin (b Lübz),Lübz ZOB,582,thursday,VLP Parchim,959753,638858,32,593769,45,13
124,821,2024-08-22,I_ESM,DU,1,1,Hagenow ZOB,Lübtheen Am Jessen. Weg,585,thursday,VLP Ludwigslust,1096035,540455,3,605423,32,18
0,806,2024-08-22,P_mmp,A,1,1,Parchim ZOB,Groß Pankow,585,thursday,VLP Parchim,1021191,425691,4,639917,18,12
0,830,2024-08-22,P_hkl,A,1,1,Zarrentin a Schaals. Bahnhofst,Gallin (b Zarrentin),591,thursday,VLP Boizenburg,151735,586271,2,462468,14,17
129,803,2024-08-22,P_SKr,DU,1,1,Bobzin (Lübz),Lübz ZOB,593,thursday,VLP Parchim,484095,578957,40,593769,42,12
140,832,2024-08-22,P_KHo,DU,1,1,Brahlstorf Dorf,Boizenburg Markt,594,thursday,VLP Boizenburg,735019,273718,17,614787,55,16
131,813,2024-08-22,P_KHo,DU,1,1,Ludwigslust Parkstraße,Groß Krams,594,thursday,VLP Ludwigslust,1169477,146178,5,285215,23,13
147,830,2024-08-22,P_ViB,DU,1,1,Lüttow Dorf,Zarrentin a Schaals. Markt,597,thursday,VLP Boizenburg,791399,213279,49,463815,52,16
146,821,2024-08-22,I_ESM,DU,1,1,Redefin B5,Hagenow Robert-Stock-Str.,598,thursday,VLP Ludwigslust,100078,652959,35,592840,52,17
158,843,2024-08-22,P_MaS,DU,1,1,Sternberg (Meckl) ZOB,Ruchow,605,thursday,VLP Sternberg,652442,641458,1,69969,40,15
0,807,2024-08-22,I_ESM,A,1,1,Wulfsahl,Parchim Fr.-W.-Raiffeisenring,608,thursday,VLP Parchim,148025,179991,17,32601,28,11
136,844,2024-08-22,I_ESM,DU,1,1,Golchen,Weberin,608,thursday,VLP Sternberg,378721,372661,18,250125,32,11
137,843,2024-08-22,I_ESM,DU,1,1,Ruchow,Sternberg (Meckl) ZOB,614,thursday,VLP Sternberg,1538024,271355,8,641458,46,14
127,842,2024-08-22,I_ESM,DU,1,1,Demen Siedlung,Crivitz Am Krankenhaus,614,thursday,VLP Sternberg,1495181,505713,3,239392,22,13
127,842,2024-08-22,P_StH,DU,1,1,Demen Siedlung,Crivitz Große Straße,614,thursday,VLP Sternberg,1495181,505713,3,143142,23,13
0,842,2024-08-22,I_AUS,A,3,3,Demen Siedlung,Crivitz Bahnhof,614,thursday,VLP Sternberg,1495181,505713,3,186789,25,13
127,842,2024-08-22,P_IID,DU,3,3,Demen Siedlung,Crivitz Bahnhof,614,thursday,VLP Sternberg,1495181,505713,3,186789,25,13
